country,companies,total_funding,average_funding
AFG,8,0.0,0.0
AGO,2,0.0,0.0
AIA,1,0.0,0.0
ALB,11,2050000.0,186363.63636363635
AND,1,0.0,0.0
ANT,21,21416803.0,1019847.7619047619
ARA,1,0.0,0.0
ARE,200,192505250.0,962526.25
ARG,329,200572503.0,609642.8662613982
ARM,5,0.0,0.0
ATG,3,0.0,0.0
AUS,1542,1672412184.0,1084573.40077821
AUT,267,540676720.0,2025006.4419475656
AZE,7,300000.0,42857.142857142855
BDI,2,0.0,0.0
BEL,413,1077453010.0,2608845.0605326877
BEN,1,0.0,0.0
BGD,54,21813500.0,403953.7037037037
BGR,104,14226108.0,136789.5
BHR,14,20000.0,1428.5714285714287
BHS,4,1200000.0,300000.0
BIH,6,0.0,0.0
BLR,33,30000.0,909.0909090909091
BLZ,3,0.0,0.0
BMU,11,751666000.0,68333272.72727273
BOL,3,0.0,0.0
BRA,582,1103603950.0,1896226.7182130583
BRB,7,798679.0,114097.0
BRN,1,0.0,0.0
BWA,1,0.0,0.0
CAN,4005,9866361996.0,2463511.1101123597
CHE,608,2829252715.0,4653376.175986842
CHL,102,26722000.0,261980.39215686274
CHN,820,10689737173.0,13036264.845121952
CIV,1,0.0,0.0
CMR,6,4561.0,760.1666666666666
COL,64,156499500.0,2445304.6875
CRI,27,649000.0,24037.037037037036
CSS,53,4344660.0,81974.71698113208
CUB,1,0.0,0.0
CYM,24,159670000.0,6652916.666666667
CYP,61,43597173.0,714707.7540983607
CZE,141,542211004.0,3845468.1134751774
DEU,2157,5765773985.0,2673052.380621233
DMA,2,0.0,0.0
DNK,421,1090568437.0,2590423.8408551067
DOM,13,2038631.0,156817.76923076922
DZA,1,0.0,0.0
ECU,3,378813.0,126271.0
EGY,78,146005000.0,1871858.9743589743
ESP,1189,2137335274.0,1797590.6425567705
EST,112,50506901.0,450954.47321428574
ETH,2,0.0,0.0
FIN,615,1051915333.0,1710431.4357723577
FJI,1,0.0,0.0
FRA,1874,4595137753.0,2452047.893810032
