country,year,total_funding,funding_rounds
ALB,2011.0,1900000.0,1
ALB,2012.0,150000.0,1
ANT,2010.0,10871040.0,1
ANT,2012.0,4875000.0,3
ANT,2013.0,5670763.0,5
ARE,2008.0,94750000.0,2
ARE,2009.0,3996250.0,8
ARE,2010.0,21685000.0,4
ARE,2011.0,30445000.0,4
ARE,2012.0,20195000.0,3
ARE,2013.0,21434000.0,8
ARG,1996.0,3930000.0,1
ARG,1997.0,2520000.0,1
ARG,1999.0,1500000.0,1
ARG,2000.0,17170000.0,2
ARG,2001.0,655000.0,2
ARG,2007.0,6212394.0,3
ARG,2008.0,27680000.0,9
ARG,2009.0,5159083.0,7
ARG,2010.0,44010000.0,10
ARG,2011.0,26215000.0,21
ARG,2012.0,41109026.0,34
ARG,2013.0,24412000.0,23
AUS,2000.0,4200000.0,1
AUS,2003.0,540000.0,3
AUS,2004.0,1050000.0,2
AUS,2005.0,38556000.0,15
AUS,2006.0,19350000.0,8
AUS,2007.0,35963660.0,16
AUS,2008.0,74626670.0,24
AUS,2009.0,111297120.0,14
AUS,2010.0,132594558.0,29
AUS,2011.0,274966080.0,48
AUS,2012.0,189309628.0,67
AUS,2013.0,785658468.0,92
AUT,2005.0,4665080.0,4
AUT,2006.0,40684000.0,6
AUT,2007.0,80683725.0,13
AUT,2008.0,7125680.0,7
AUT,2009.0,13616426.0,11
AUT,2010.0,51782357.0,24
AUT,2011.0,258085718.0,27
AUT,2012.0,19026288.0,28
AUT,2013.0,65007446.0,18
AZE,2013.0,300000.0,2
BEL,2000.0,1400000.0,2
BEL,2001.0,11686778.0,2
BEL,2003.0,6292200.0,1
BEL,2005.0,29665600.0,6
BEL,2006.0,74636150.0,12
BEL,2007.0,140498487.0,19
BEL,2008.0,39490333.0,17
BEL,2009.0,339621089.0,27
BEL,2010.0,94284900.0,20
BEL,2011.0,87940061.0,25
BEL,2012.0,85378662.0,28
BEL,2013.0,165558750.0,27
BGD,2008.0,25000.0,1
BGD,2010.0,1000000.0,1
BGD,2011.0,4031500.0,3
BGD,2012.0,1750000.0,1
BGD,2013.0,15007000.0,2
BGR,2005.0,9300000.0,1
BGR,2006.0,5000.0,1
BGR,2010.0,200000.0,2
BGR,2011.0,2020004.0,2
BGR,2012.0,516284.0,11
BGR,2013.0,2184820.0,32
BHR,2012.0,0.0,1
BHR,2013.0,20000.0,1
BHS,2008.0,1200000.0,1
BHS,2010.0,0.0,1
BLR,2010.0,10000.0,1
BLR,2011.0,20000.0,1
BMU,2004.0,0.0,1
BMU,2006.0,210000000.0,2
BMU,2007.0,15000000.0,1
BMU,2012.0,526666000.0,1
BRA,1999.0,1000000.0,1
BRA,2000.0,7000000.0,2
BRA,2001.0,2000000.0,1
BRA,2004.0,1350000.0,2
BRA,2005.0,750000.0,2
BRA,2006.0,1000000.0,1
BRA,2007.0,202800000.0,6
BRA,2008.0,106300000.0,7
BRA,2009.0,49681500.0,12
BRA,2010.0,79225000.0,19
BRA,2011.0,92701000.0,47
BRA,2012.0,300837858.0,65
BRA,2013.0,258958592.0,69
BRB,2008.0,798679.0,1
CAN,1998.0,0.0,1
CAN,1999.0,0.0,1
CAN,2000.0,0.0,1
CAN,2003.0,0.0,1
CAN,2004.0,16500000.0,4
CAN,2005.0,575474500.0,66
CAN,2006.0,455407253.0,69
CAN,2007.0,587946804.0,87
CAN,2008.0,954816543.0,94
CAN,2009.0,597086011.0,124
CAN,2010.0,783305557.0,177
CAN,2011.0,1259015306.0,260
CAN,2012.0,1076973009.0,277
CAN,2013.0,3547316325.0,340
CHE,2000.0,14000000.0,1
CHE,2003.0,72829.0,1
CHE,2004.0,16000000.0,1
CHE,2005.0,105556520.0,10
CHE,2006.0,165407000.0,15
CHE,2007.0,330405045.0,16
CHE,2008.0,571157544.0,27
CHE,2009.0,418820000.0,28
CHE,2010.0,435748763.0,34
CHE,2011.0,252864315.0,39
CHE,2012.0,135015600.0,31
CHE,2013.0,384205099.0,56
CHL,2006.0,6000.0,1
CHL,2010.0,900000.0,7
CHL,2011.0,2185000.0,13
CHL,2012.0,10520000.0,16
CHL,2013.0,13111000.0,18
CHN,2004.0,100000000.0,1
CHN,2005.0,75800000.0,8
CHN,2006.0,483105000.0,37
CHN,2007.0,465817000.0,39
CHN,2008.0,1548217500.0,49
CHN,2009.0,967287309.0,43
CHN,2010.0,861130637.0,60
CHN,2011.0,1624532795.0,63
CHN,2012.0,1020118610.0,40
CHN,2013.0,3475728322.0,81
CMR,2009.0,4561.0,1
COL,2006.0,350000.0,2
COL,2008.0,375000.0,2
COL,2009.0,144400000.0,3
COL,2010.0,200000.0,1
COL,2011.0,2690000.0,4
COL,2012.0,1397000.0,10
COL,2013.0,7087500.0,5
CRI,2005.0,50000.0,1
CRI,2006.0,62000.0,1
CRI,2009.0,350000.0,1
CRI,2011.0,147000.0,1
CRI,2013.0,40000.0,1
CSS,2009.0,4344660.0,2
CYM,2005.0,1250000.0,1
CYM,2006.0,5000000.0,1
CYM,2008.0,0.0,1
CYM,2009.0,27120000.0,3
CYM,2010.0,125000000.0,3
CYM,2011.0,1300000.0,1
CYP,2007.0,1700000.0,2
CYP,2009.0,6500000.0,1
CYP,2010.0,2440404.0,2
CYP,2011.0,15956769.0,6
CYP,2012.0,17000000.0,2
CZE,2005.0,56000000.0,2
CZE,2006.0,3040100.0,3
CZE,2007.0,2025750.0,2
CZE,2008.0,151965600.0,6
CZE,2009.0,200000000.0,2
CZE,2010.0,113247020.0,3
CZE,2011.0,2445714.0,8
CZE,2012.0,170000.0,4
CZE,2013.0,13316820.0,7
DEU,1993.0,0.0,1
DEU,1998.0,0.0,1
DEU,1999.0,2000000.0,2
DEU,2000.0,0.0,3
DEU,2002.0,38692400.0,3
DEU,2003.0,21200000.0,3
DEU,2004.0,20342320.0,5
DEU,2005.0,239984445.0,36
DEU,2006.0,281249469.0,73
DEU,2007.0,269001237.0,63
DEU,2008.0,621449938.0,87
DEU,2009.0,356116974.0,79
DEU,2010.0,695014909.0,148
DEU,2011.0,873686608.0,161
DEU,2012.0,1227976625.0,165
DEU,2013.0,1118059060.0,207
DNK,2000.0,0.0,1
DNK,2003.0,1040000.0,3
DNK,2005.0,38578000.0,8
DNK,2006.0,59977100.0,9
DNK,2007.0,82249500.0,21
DNK,2008.0,65569200.0,13
DNK,2009.0,96838000.0,10
DNK,2010.0,195686540.0,20
DNK,2011.0,320361990.0,20
DNK,2012.0,105890505.0,34
DNK,2013.0,124377602.0,37
DOM,2007.0,2000000.0,1
DOM,2012.0,38631.0,1
ECU,2013.0,378813.0,1
EGY,2006.0,40830000.0,1
EGY,2009.0,2000000.0,1
EGY,2010.0,150000.0,1
EGY,2011.0,0.0,1
EGY,2012.0,840000.0,7
EGY,2013.0,102185000.0,5
ESP,2003.0,6833575.0,3
ESP,2005.0,10546725.0,11
ESP,2006.0,90904696.0,24
ESP,2007.0,149877233.0,37
ESP,2008.0,211092537.0,43
ESP,2009.0,100040051.0,40
ESP,2010.0,220416076.0,54
ESP,2011.0,280833095.0,82
ESP,2012.0,138980471.0,120
ESP,2013.0,927810817.0,120
EST,2006.0,3443000.0,3
EST,2007.0,131350.0,1
EST,2008.0,1001536.0,4
EST,2009.0,1108337.0,4
EST,2010.0,12822239.0,5
EST,2011.0,57952.0,3
EST,2012.0,25000.0,2
EST,2013.0,31917487.0,10
FIN,2004.0,0.0,1
FIN,2005.0,18550000.0,3
FIN,2006.0,82784720.0,15
FIN,2007.0,2953025.0,4
FIN,2008.0,86021900.0,11
FIN,2009.0,34243200.0,13
FIN,2010.0,89630261.0,26
FIN,2011.0,142672120.0,29
FIN,2012.0,77086819.0,31
FIN,2013.0,517973289.0,43
FRA,2000.0,2000000.0,2
FRA,2005.0,243986220.0,66
FRA,2006.0,418206836.0,79
FRA,2007.0,562560763.0,102
FRA,2008.0,409785215.0,111
FRA,2009.0,472857531.0,92
FRA,2010.0,769341713.0,154
FRA,2011.0,437938836.0,112
FRA,2012.0,517746547.0,107
FRA,2013.0,760478292.0,130
FST,2009.0,727250.0,1
FST,2010.0,350000.0,1
GBR,1960.0,0.0,1
GBR,1974.0,0.0,1
GBR,1996.0,0.0,1
GBR,1998.0,0.0,4
GBR,1999.0,4126789.0,1
GBR,2000.0,7520257.0,3
GBR,2001.0,56041355.0,6
GBR,2002.0,56240755.0,10
GBR,2003.0,69667549.0,14
GBR,2004.0,83162303.0,24
GBR,2005.0,582868245.0,106
GBR,2006.0,845091706.0,165
GBR,2007.0,1365226667.0,205
GBR,2008.0,1813355842.0,261
GBR,2009.0,1822081417.0,251
GBR,2010.0,3064376461.0,346
GBR,2011.0,2695324619.0,419
GBR,2012.0,2198553879.0,525
GBR,2013.0,3021869266.0,599
GEO,2011.0,93000.0,2
GEO,2012.0,15000.0,1
GHA,2009.0,100000.0,1
GHA,2010.0,130000.0,2
GHA,2011.0,100000.0,1
GHA,2012.0,0.0,1
GHA,2013.0,19616.0,3
GIB,2010.0,8500000.0,1
GIB,2011.0,10429912.0,2
GIN,2007.0,1000000.0,1
GLP,2012.0,517560.0,1
GRC,2006.0,1280000.0,1
GRC,2007.0,500000.0,1
GRC,2008.0,621600.0,1
GRC,2009.0,2017965.0,2
GRC,2010.0,680750.0,1
GRC,2011.0,2037445.0,11
GRC,2012.0,3818753.0,8
GRC,2013.0,5892786.0,16
GTM,2012.0,174000.0,2
GTM,2013.0,189600.0,1
HKG,2002.0,495650.0,1
HKG,2005.0,500000.0,1
HKG,2006.0,11040000.0,6
HKG,2007.0,4000000.0,3
HKG,2008.0,6472100.0,2
HKG,2009.0,45501000.0,7
HKG,2010.0,118000000.0,7
HKG,2011.0,53961134.0,10
HKG,2012.0,22045500.0,18
HKG,2013.0,9386000.0,18
HMI,2013.0,2573200.0,1
HRV,2008.0,1331100.0,1
HRV,2010.0,121550.0,3
HRV,2011.0,27000.0,2
HRV,2013.0,62013.0,2
HUN,2005.0,6280000.0,2
HUN,2007.0,250000.0,1
HUN,2008.0,160000.0,1
HUN,2009.0,1130000.0,4
HUN,2010.0,2639150.0,3
HUN,2011.0,17725000.0,5
HUN,2012.0,4002500.0,5
HUN,2013.0,4027000.0,3
IDN,2005.0,2000000.0,1
IDN,2006.0,3000000.0,1
IDN,2007.0,16600000.0,1
IDN,2008.0,5000000.0,1
IDN,2010.0,250000.0,2
IDN,2011.0,7220000.0,7
IDN,2012.0,1500000.0,7
IDN,2013.0,224080000.0,15
IND,2005.0,63300000.0,8
IND,2006.0,266980000.0,34
IND,2007.0,322082000.0,43
IND,2008.0,1029593050.0,57
IND,2009.0,134310000.0,38
IND,2010.0,622750287.0,58
IND,2011.0,881922237.0,83
IND,2012.0,589073200.0,108
IND,2013.0,2231279357.0,249
IRL,1999.0,500000.0,2
IRL,2000.0,0.0,1
IRL,2001.0,2178358.0,2
IRL,2002.0,9938000.0,2
IRL,2004.0,3730770.0,2
IRL,2005.0,104352725.0,18
IRL,2006.0,64028258.0,13
IRL,2007.0,82578235.0,18
IRL,2008.0,117453498.0,21
IRL,2009.0,101143891.0,33
IRL,2010.0,127140084.0,40
IRL,2011.0,789965304.0,49
IRL,2012.0,96831482.0,55
IRL,2013.0,580827383.0,68
ISL,2009.0,960273.0,1
ISL,2010.0,16769311.0,4
ISL,2011.0,2200000.0,2
ISL,2012.0,20048000.0,4
ISL,2013.0,8081256.0,7
ISR,1994.0,400000.0,1
ISR,1999.0,12000000.0,1
ISR,2002.0,1000000.0,1
ISR,2003.0,7500000.0,1
ISR,2004.0,2000000.0,1
ISR,2005.0,231800000.0,40
ISR,2006.0,423615271.0,63
ISR,2007.0,419350000.0,77
ISR,2008.0,563758712.0,91
ISR,2009.0,310790000.0,57
ISR,2010.0,347204156.0,74
ISR,2011.0,463374168.0,103
ISR,2012.0,473913594.0,117
ISR,2013.0,1213865727.0,170
ITA,2000.0,1356210.0,1
ITA,2003.0,279041.0,2
ITA,2004.0,8923600.0,1
ITA,2005.0,3778285.0,4
ITA,2006.0,17904036.0,7
ITA,2007.0,10609070.0,13
ITA,2008.0,89518494.0,20
ITA,2009.0,13515540.0,13
ITA,2010.0,25060064.0,22
ITA,2011.0,101433265.0,42
ITA,2012.0,262437431.0,74
ITA,2013.0,90013862.0,95
JOR,2006.0,5250000.0,1
JOR,2007.0,0.0,1
JOR,2008.0,1000000.0,1
JOR,2009.0,94350.0,5
JOR,2010.0,0.0,1
JOR,2011.0,5041000.0,3
JOR,2012.0,10198000.0,3
JOR,2013.0,0.0,3
JPN,1995.0,0.0,1
JPN,1997.0,100000.0,1
JPN,2000.0,12083943.0,1
JPN,2001.0,7278622.0,2
JPN,2003.0,600000.0,1
JPN,2004.0,11190620.0,3
JPN,2005.0,11277464.0,2
JPN,2006.0,59679068.0,5
JPN,2007.0,14294655.0,5
JPN,2008.0,122279742.0,15
JPN,2009.0,63062494.0,18
JPN,2010.0,900265597.0,28
JPN,2011.0,70168658.0,43
JPN,2012.0,70058389.0,37
JPN,2013.0,280285020.0,63
KEN,2009.0,25000000.0,1
KEN,2010.0,20340000.0,3
KEN,2011.0,864923.0,3
KEN,2012.0,1545000.0,3
KEN,2013.0,20379999.0,7
KHM,2013.0,450000.0,1
KOR,2005.0,12470000.0,2
KOR,2006.0,34000000.0,4
KOR,2007.0,15890000.0,5
KOR,2008.0,29700000.0,5
KOR,2009.0,39010000.0,9
KOR,2010.0,69380000.0,7
KOR,2011.0,5353963.0,10
KOR,2012.0,73807500.0,13
KOR,2013.0,92700900.0,15
LAO,2010.0,0.0,1
LBN,2008.0,250000.0,1
LBN,2011.0,100000.0,1
LBN,2012.0,1552500.0,5
LBN,2013.0,150000.0,1
LIE,2011.0,7500000.0,1
LTU,2007.0,140000.0,2
LTU,2008.0,28100000.0,1
LTU,2009.0,150000.0,1
LTU,2010.0,200000.0,1
LTU,2011.0,250000.0,4
LTU,2012.0,1038371.0,9
LTU,2013.0,2025913.0,7
LUX,2002.0,250000.0,1
LUX,2003.0,0.0,1
LUX,2004.0,18800000.0,1
LUX,2005.0,3900000.0,1
LUX,2007.0,449300000.0,1
LUX,2008.0,21764691.0,2
LUX,2009.0,100954230.0,4
LUX,2010.0,37238312.0,5
LUX,2011.0,122425058.0,5
LUX,2012.0,101565335.0,4
LUX,2013.0,255550000.0,5
LVA,2007.0,376000.0,1
LVA,2009.0,148680.0,2
LVA,2011.0,0.0,1
LVA,2012.0,50000.0,3
LVA,2013.0,50000.0,1
MAR,2011.0,0.0,1
MAR,2013.0,3200000.0,2
MCO,2007.0,657000.0,1
MEX,2008.0,20350000.0,3
MEX,2009.0,20000.0,1
MEX,2010.0,2050000.0,4
MEX,2011.0,110366154.0,9
MEX,2012.0,4495000.0,8
MEX,2013.0,102896500.0,14
MKD,2008.0,0.0,1
MKD,2013.0,38484.0,1
MLT,2009.0,429420.0,1
MLT,2010.0,11373300.0,1
MLT,2012.0,43134351.0,1
MMR,2013.0,145000.0,1
MYS,2000.0,5000000.0,1
MYS,2002.0,2400000.0,1
MYS,2003.0,13000000.0,1
MYS,2005.0,168000000.0,1
MYS,2006.0,13120000.0,3
MYS,2007.0,940000.0,2
MYS,2008.0,72094863.0,5
MYS,2009.0,14933548.0,9
MYS,2010.0,551340000.0,5
MYS,2011.0,3865000.0,10
MYS,2012.0,66867000.0,8
MYS,2013.0,612800000.0,12
NER,2013.0,6000.0,1
NGA,2005.0,10000000.0,1
NGA,2008.0,257000.0,1
NGA,2010.0,528700.0,5
NGA,2011.0,701566.0,5
NGA,2012.0,224700.0,3
NGA,2013.0,63230000.0,8
NLD,2004.0,0.0,1
NLD,2005.0,32592480.0,7
NLD,2006.0,58310247.0,10
NLD,2007.0,262201514.0,25
NLD,2008.0,182553240.0,22
NLD,2009.0,572364720.0,30
NLD,2010.0,124401555.0,30
NLD,2011.0,208955529.0,45
NLD,2012.0,178471203.0,59
NLD,2013.0,734118859.0,73
NOR,2005.0,18590000.0,5
NOR,2006.0,113169000.0,5
NOR,2007.0,36937000.0,13
NOR,2008.0,61319000.0,15
NOR,2009.0,257000000.0,11
NOR,2010.0,142908310.0,23
NOR,2011.0,49062753.0,14
NOR,2012.0,37500995.0,10
NOR,2013.0,69036443.0,20
NPL,2008.0,200000.0,1
NRU,2013.0,1672580.0,1
NZL,2005.0,3000000.0,1
NZL,2006.0,3570000.0,5
NZL,2007.0,17350000.0,5
NZL,2008.0,1286000.0,3
NZL,2009.0,25265300.0,4
NZL,2010.0,37780000.0,8
NZL,2011.0,11613203.0,6
NZL,2012.0,70440000.0,8
NZL,2013.0,359048830.0,14
PAK,2003.0,0.0,1
PAK,2008.0,2025000.0,2
PAK,2009.0,100000.0,1
PAK,2010.0,10000.0,1
PAK,2011.0,6000.0,1
PAK,2012.0,500000.0,1
PAN,2011.0,253000.0,2
PAN,2012.0,2100000.0,1
PER,2011.0,20000000.0,1
PER,2012.0,100000.0,2
PER,2013.0,155000.0,3
PHL,2002.0,0.0,1
PHL,2008.0,105000.0,2
PHL,2009.0,110000.0,3
PHL,2010.0,731000.0,4
PHL,2011.0,300000.0,1
PHL,2012.0,10135000.0,10
PHL,2013.0,150199200.0,8
POL,1998.0,2000.0,1
POL,2005.0,233000.0,2
POL,2006.0,953000.0,2
POL,2007.0,1130000.0,4
POL,2008.0,55644536.0,4
POL,2009.0,125000.0,3
POL,2010.0,4806300.0,6
POL,2011.0,4434582.0,15
POL,2012.0,5719000.0,15
POL,2013.0,1156959.0,12
PRK,2010.0,1800000.0,1
PRK,2013.0,2300000.0,1
PRT,2005.0,22818000.0,4
PRT,2006.0,11581800.0,4
PRT,2007.0,14506100.0,5
PRT,2008.0,8514000.0,2
PRT,2009.0,1750000.0,4
PRT,2010.0,854348.0,3
PRT,2011.0,9201772.0,5
PRT,2012.0,102870685.0,7
PRT,2013.0,4250676.0,11
PRY,2011.0,0.0,1
PST,2012.0,1000000.0,1
REU,2008.0,146240.0,2
ROM,2007.0,2940000.0,1
ROM,2008.0,233100.0,1
ROM,2010.0,4568630.0,3
ROM,2011.0,718100.0,2
ROM,2012.0,290000.0,2
ROM,2013.0,178484.0,5
RUS,2000.0,8300000.0,2
RUS,2004.0,0.0,2
RUS,2005.0,7000000.0,5
RUS,2006.0,9500000.0,4
RUS,2007.0,88000000.0,5
RUS,2008.0,95030000.0,8
RUS,2009.0,39450000.0,11
RUS,2010.0,87009273.0,39
RUS,2011.0,445540500.0,57
RUS,2012.0,895790000.0,58
RUS,2013.0,618324299.0,56
SAU,2006.0,6000000.0,1
SEN,2013.0,150000.0,1
SGP,2004.0,25000.0,1
SGP,2006.0,10170000.0,4
SGP,2007.0,11612000.0,16
SGP,2008.0,144749000.0,16
SGP,2009.0,142814000.0,20
SGP,2010.0,114965500.0,31
SGP,2011.0,124525165.0,48
SGP,2012.0,79428286.0,41
SGP,2013.0,191473959.0,79
SLV,2010.0,50000.0,1
SMR,2013.0,3859800.0,1
SOM,2010.0,2000000.0,1
SVK,2005.0,500000.0,1
SVK,2006.0,3650000.0,1
SVK,2009.0,4500000.0,1
SVK,2011.0,483935.0,2
SVK,2012.0,2782957.0,3
SVK,2013.0,102928.0,3
SVN,2008.0,252040.0,1
SVN,2010.0,1000000.0,1
SVN,2012.0,718848.0,2
SWE,2002.0,150000.0,1
SWE,2005.0,86085765.0,17
SWE,2006.0,196366157.0,39
SWE,2007.0,150252313.0,32
SWE,2008.0,239959078.0,44
SWE,2009.0,109482836.0,29
SWE,2010.0,152568010.0,42
SWE,2011.0,347261312.0,52
SWE,2012.0,173133799.0,61
SWE,2013.0,152847625.0,50
SWZ,2013.0,51141000.0,2
SYC,2011.0,35000.0,1
THA,2009.0,4510000.0,1
THA,2010.0,4200000.0,2
THA,2011.0,950000.0,3
THA,2012.0,775000.0,2
THA,2013.0,1492000.0,6
TUN,2010.0,3920000.0,1
TUN,2012.0,0.0,2
TUR,2008.0,240000.0,2
TUR,2009.0,83500000.0,3
TUR,2010.0,24989638.0,10
TUR,2011.0,48638200.0,17
TUR,2012.0,49390000.0,13
TUR,2013.0,30241240.0,18
TWN,2007.0,65000000.0,2
