investor_object_id,investor_name,total_investments
c:10020,Threebrix E-services Pvt Ltd,1
c:10022,Fundable.com,3
c:10071,Dada Entertainment,1
c:10085,Compaq,1
c:100936,IQube,1
c:10119,WPP,32
c:10166,Acxiom,1
c:10168,Istanta Group,1
c:101758,New business venture fund,1
c:101824,Alfalak,1
c:101909,El Paso Corporation,1
c:102014,K2MediaLabs,1
c:102015,Suffolk Holdings,1
c:10222,Hitachi,1
c:102498,DAD,1
c:102906,Steelcase,1
c:10360,Beck Energy,2
c:104398,Visma,1
c:10455,AKQA,1
c:10475,Abbott Labs,2
c:10476,Holtzbrinck,4
c:104836,Emerge Group,1
c:10485,GE Healthcare,2
c:104962,Abengoa Solar,1
c:105319,Smartlogic Semaphore,1
c:105504,K2 Media,1
c:10563,The Next Web,1
c:106156,Forward Internet Group,1
c:1066,Genentech,3
c:106661,SK Group,1
c:10672,Listen.com,1
c:10683,Glenwood Group,1
c:10770,wildscreen.tv,1
c:1080,Automattic,3
c:11,Fox Interactive Media,2
c:11272,Empire Media,1
c:11320,Toyota,1
c:11321,Saab Automobile,1
c:11328,Voice123,1
c:11391,Groupon,3
c:11414,Polygon Group,1
c:11451,Kistefos VC,1
c:114848,High-Tech Bridge,1
c:114929,bizeso services pvt ltd,1
c:11496,Amarin NeuroScience,1
c:11602,Architel LP,3
c:11731,Navteq,1
c:117380,Renren,1
c:117503,Momentum Bioscience,1
c:11753,e-Value (Germany),1
c:11863,Ingram Book Group,2
c:11875,Torrenegra Labs,9
c:11962,Scala,1
c:1197,Best Buy,4
c:120318,Eureka Equities Inc.,1
c:12041,nugg.ad AG,1
c:12100,THQ,1
c:12102,Sonosite,2
c:12111,Telstra,2
c:12137,Johnson & Johnson,1
c:1230,Revolution LLC,30
c:12368,HomeAdvisor,2
c:12390,Belden,1
c:12411,DataCash Group,1
c:1242,Microsoft,17
c:12557,Alienware,1
c:12598,Pentagram,1
c:12623,Publicis Groupe,2
c:12649,RadWebTech,1
c:12673,Warner Music Group,3
c:12717,ApogeeInvent,1
c:12775,McGraw-Hill Companies,3
c:12804,MDC Partners,1
c:12861,Technologies HumanID,1
c:12915,Chevron,1
c:12937,Weborama,1
c:130502,Accel-X Pte Ltd,3
c:130980,Brevatim Trust,1
c:130981,OPM Research and Development,1
c:13111,Shell,1
c:13155,Iven & Hillmann,1
c:13166,NPD Group,2
c:13171,Hi-media,2
c:131716,MerchantCashinAdvance,1
c:13198,Agence France Presse (AFP),1
c:13246,First Solar,1
c:13249,Zephyr,1
c:13259,SpaceTec Capital Partners AG,1
c:13278,faberNovel,1
c:13301,NetAge (Japan),2
c:133242,Cyberonics,1
c:1335,TheStreet,1
c:13402,National Semiconductor,1
c:13403,Symyx,1
c:13450,AstraZeneca,1
c:13463,Hambrecht & Quist,1
c:135034,SpeedUp IQbator,1
c:135159,Regio,1
c:13524,Epicor Software,1
c:13529,Sapient,2
c:1354,Discovery Communications,4
c:13543,Everest Group,1
c:13564,Infopromotions,1
c:1359,SuperMedia,1
c:13636,Programmed,1
c:137041,AIP Seed Capital,1
c:137136,UJ Ventures,3
c:13727,ABS-CBN GLOBAL LTD.,1
c:13779,Sumitomo Corporation,7
c:137904,Skolkovo Foundation,3
c:13802,Miniclip,1
c:138502,Snapdeal,1
c:13867,Gemalto,1
c:138836,Enova,1
c:138934,Educational Development Corporation,1
c:138937,Weld North,1
c:139356,SK Planet,4
c:139798,MaRS Innovation,6
c:139880,KT Corp,1
c:139911,GeekWire,1
c:140022,Polaris Industries,2
c:140023,Alpine Energy,1
c:14011,Interpublic Group,3
c:140338,WA-8,1
c:14046,TELUS,3
c:140679,99 Fahrenheit,1
c:140704,AamigoO.com,1
c:14082,WeDirect,1
c:140837,Canopy Capital  Partners,1
c:140852,K5Launch,1
c:140941,Lamp Post Group,2
c:14111,Rovi Corporation,4
c:141254,"La Rocca, LLC",1
c:141434,Mola.com,8
c:141464,Imprint Venture Lab,1
c:141569,Warehouse Investimentos,1
c:14159,LoopNet,1
c:141623,FacePaint,1
c:141654,Northwest Media Partners,1
c:141703,CFR Pharmaceuticals,1
c:141719,JFDI.Asia,18
c:141866,Capital Sports & Entertainment,2
c:14198,LaunchPad Coworking,1
c:14199,Creaturk,1
c:142001,Launch House,1
c:142094,Listen Ventures,1
c:142096,Spearhead Group,1
c:142176,Wayra,31
c:14239,Tadlock Enterprises,1
c:14243,Rutoo international,1
c:142563,Ayzenberg Group,1
c:142677,Dominion Energy Technologies,1
c:142679,CEVA,1
c:142742,Yamas Ventures GmbH,1
c:142967,Science,7
c:143205,Denley Investments,2
c:143222,Enbridge,3
c:143369,GBSA Int. Investment Group,1
c:143412,Connecticut Center for Advanced Technology,1
c:143611,Lamex Group,2
c:143628,The University of Melbourne,2
c:143695,Comcast MEAP,1
c:143779,Chenen a.s.,1
c:143940,Starta Capital,1
c:143982,Accion,5
c:144005,StartaCapital,1
c:144024,Proseed Capital,1
c:144025,Anaphor Venture,1
c:144252,Daher Bonds,1
c:144331,Buongiorno S.p.A.,1
c:1444,CNET Networks,1
c:144401,Celtic House,2
c:144404,AIB Seed Capital,1
c:144412,Ecommerce Alliance,1
c:144451,SI Group,1
c:144523,Amadeus,1
c:144530,RAA Ventures,1
c:144574,Amplify.LA,7
c:144630,AxHill LLC,1
c:144772,SURGE Accelerator,1
c:144777,SURGEAccelerator,1
c:14485,Bluefrog Interactive,1
c:144850,Grupo Roggio,1
c:144878,Cox Media Group,5
c:144922,AVACO,1
c:145047,Healthbox,8
c:145066,ValleyVC,1
c:145164,Moosylvania Marketing,1
c:145228,BoostBargains,1
c:145506,Weta Digital,1
c:145517,Glavstart,1
c:14584,Systemic,1
c:145850,H. Lundbeck,1
c:145930,Scholastic,1
c:145965,Idyllic Software,1
c:146090,Think Tank Mobile,1
c:146189,NHN Corporation,1
c:146332,"Zinah Ventures, LLC",1
c:146501,Interstate Enterprises,1
c:146502,BON Fund,1
c:146519,ASC Ticket Company,1
c:14667,Southern California Public Radio,1
c:146915,Elevation Capital,3
c:146949,The Yoshida Group,1
c:147061,Start Engine,4
c:147170,Atom Factory,2
c:147221,NTT Corporate,1
c:147284,UPPS Group,1
c:147339,Enrico Investments LLC,1
c:147450,Anges Québec,2
c:147451,Fondaction CSN,1
