investor_id,investor_name,entity_type,category_code,country,state_code,city,homepage_url,status
c:10020,Threebrix E-services Pvt Ltd,Company,Unknown,Unknown,,Unknown,,operating
c:10022,Fundable.com,Company,finance,USA,OH,Powell,https://www.fundable.com,operating
c:10071,Dada Entertainment,Company,mobile,USA,NY,New York,http://www.dada.net,operating
c:10085,Compaq,Company,hardware,USA,CA,Palo Alto,http://www.compaq.com,acquired
c:100936,IQube,Company,Unknown,Unknown,,Unknown,,operating
c:10119,WPP,Company,public_relations,USA,NY,New York,http://www.wpp.com,operating
c:10166,Acxiom,Company,software,USA,AR,Little Rock,http://www.acxiom.com,ipo
c:10168,Istanta Group,Company,Unknown,Unknown,,Unknown,,operating
c:101758,New business venture fund,Company,Unknown,Unknown,,Unknown,,operating
c:101824,Alfalak,Company,Unknown,Unknown,,Unknown,,operating
c:101909,El Paso Corporation,Company,Unknown,USA,TX,Houston,http://www.elpaso.com,operating
c:102014,K2MediaLabs,Company,Unknown,Unknown,,Unknown,,operating
c:102015,Suffolk Holdings,Company,Unknown,Unknown,,Unknown,,operating
c:10222,Hitachi,Company,public_relations,JPN,,Tokyo,http://www.hitachi.com,ipo
c:102498,DAD,Company,advertising,GBR,,London,http://www.digitalanddirect.com,acquired
c:102906,Steelcase,Company,Unknown,Unknown,,Unknown,,operating
c:10360,Beck Energy,Company,cleantech,DEU,,Kolitzheim,http://www.beck-energy.de,operating
c:104398,Visma,Company,software,NOR,,Oslo,http://www.visma.com,operating
c:10455,AKQA,Company,advertising,USA,CA,San Francisco,http://akqa.com,acquired
c:10475,Abbott Labs,Company,biotech,USA,IL,Des Plaines,http://www.abbott.com,ipo
c:10476,Holtzbrinck,Company,Unknown,Unknown,,Unknown,,operating
c:104836,Emerge Group,Company,Unknown,Unknown,,Unknown,http://www.emergegroup.co.za,operating
c:10485,GE Healthcare,Company,biotech,Unknown,,Unknown,http://www.gehealthcare.com,acquired
c:104962,Abengoa Solar,Company,cleantech,ESP,,Sevilla,http://www.abengoasolar.com,operating
c:105319,Smartlogic Semaphore,Company,software,GBR,,London,http://www.smartlogic.com,operating
c:105504,K2 Media,Company,finance,USA,NY,New York,http://www.k2medialabs.com,operating
c:10563,The Next Web,Company,news,NLD,,Amsterdam,http://thenextweb.com,operating
c:106156,Forward Internet Group,Company,web,GBR,,London,http://www.forward.co.uk,operating
c:1066,Genentech,Company,biotech,USA,,Unknown,,ipo
c:106661,SK Group,Company,Unknown,Unknown,,Unknown,,operating
c:10672,Listen.com,Company,Unknown,USA,CA,San Francisco,,acquired
c:10683,Glenwood Group,Company,Unknown,USA,CA,Sherman Oaks,http://www.glenwoodgroup.org,operating
c:10770,wildscreen.tv,Company,web,Unknown,,Unknown,http://www.wildscreen.tv,operating
c:1080,Automattic,Company,web,USA,CA,San Francisco,http://automattic.com,operating
c:11,Fox Interactive Media,Company,web,USA,CA,Beverly Hills,http://www.newscorp.com,operating
c:11272,Empire Media,Company,Unknown,USA,TX,Southlake,http://www.empiremedia.net,operating
c:11320,Toyota,Company,enterprise,JPN,,Aichi,http://www.toyota-global.com,operating
c:11321,Saab Automobile,Company,other,Unknown,,Unknown,http://www.saab.com,operating
c:11328,Voice123,Company,advertising,USA,NY,New York,http://voice123.com,operating
c:11391,Groupon,Company,web,USA,IL,Chicago,http://www.groupon.com,ipo
c:11414,Polygon Group,Company,Unknown,Unknown,,Unknown,,operating
c:11451,Kistefos VC,Company,Unknown,Unknown,,Unknown,,operating
c:114848,High-Tech Bridge,Company,security,CHE,,Geneva,https://www.htbridge.com,operating
c:114929,bizeso services pvt ltd,Company,Unknown,Unknown,,Unknown,,operating
c:11496,Amarin NeuroScience,Company,biotech,GBR,,Stirling,http://www.laxdale.co.uk,operating
c:11602,Architel LP,Company,network_hosting,USA,TX,Dallas,http://www.architel.com,operating
c:11731,Navteq,Company,software,USA,IL,Chicago,http://www.navteq.com,acquired
c:117380,Renren,Company,social,CHN,,Unknown,http://www.renren.com,ipo
c:117503,Momentum Bioscience,Company,biotech,GBR,,Reading,http://www.momentumbio.co.uk,operating
c:11753,e-Value (Germany),Company,Unknown,Unknown,,Unknown,,operating
c:11863,Ingram Book Group,Company,other,Unknown,,Unknown,http://www.ingrambook.com,operating
c:11875,Torrenegra Labs,Company,Unknown,Unknown,,Unknown,http://torrenegralabs.com,operating
c:11962,Scala,Company,Unknown,Unknown,,Unknown,,operating
c:1197,Best Buy,Company,web,USA,MN,Richfield,http://www.bestbuy.com,ipo
c:120318,Eureka Equities Inc.,Company,Unknown,Unknown,,Unknown,,operating
c:12041,nugg.ad AG,Company,advertising,DEU,,Berlin,http://nugg.ad,acquired
c:12100,THQ,Company,games_video,USA,CA,Agoura Hills,http://thq.com,operating
c:12102,Sonosite,Company,biotech,USA,WA,Bothell,http://www.sonosite.com,acquired
c:12111,Telstra,Company,public_relations,AUS,,Melbourne,http://telstra.com.au,operating
c:12137,Johnson & Johnson,Company,biotech,USA,NJ,New Brunswick,http://www.jnj.com,ipo
c:1230,Revolution LLC,Company,other,USA,DC,Washington,http://www.revolution.com,operating
c:12368,HomeAdvisor,Company,web,USA,CO,Lakewood,http://www.homeadvisor.com,acquired
c:12390,Belden,Company,Unknown,USA,MO,St. Louis,http://www.belden.com,ipo
c:12411,DataCash Group,Company,ecommerce,GBR,,London,http://www.datacash.com,acquired
c:1242,Microsoft,Company,software,USA,WA,Redmond,http://www.microsoft.com,ipo
c:12557,Alienware,Company,hardware,USA,FL,Miami,http://www.alienware.com,acquired
c:12598,Pentagram,Company,consulting,Unknown,,Unknown,http://www.pentagram.com,operating
c:12623,Publicis Groupe,Company,public_relations,FRA,,Paris,http://www.publicisgroupe.com,operating
c:12649,RadWebTech,Company,Unknown,USA,FL,Fort Lauderdale,http://www.radwebtech.com,operating
c:12673,Warner Music Group,Company,other,USA,NY,New York,http://www.wmg.com,operating
c:12717,ApogeeInvent,Company,software,USA,ID,American Falls,http://www.apogeeinvent.com,operating
c:12775,McGraw-Hill Companies,Company,enterprise,USA,NY,New York,http://www.mcgraw-hill.com,operating
c:12804,MDC Partners,Company,consulting,CAN,,Toronto,http://www.mdccorp.com,operating
c:12861,Technologies HumanID,Company,Unknown,Unknown,,Unknown,,operating
c:12915,Chevron,Company,Unknown,USA,CA,"San Ramon,",http://www.chevron.com,operating
c:12937,Weborama,Company,advertising,FRA,,Paris,http://weborama.com,operating
c:130502,Accel-X Pte Ltd,Company,Unknown,Unknown,,Unknown,,operating
c:130980,Brevatim Trust,Company,Unknown,Unknown,,Unknown,,operating
c:130981,OPM Research and Development,Company,Unknown,Unknown,,Unknown,,operating
c:13111,Shell,Company,other,NLD,,Hague,http://www.shell.com,operating
c:13155,Iven & Hillmann,Company,other,DEU,,Berlin,http://www.iven-hillmann.com,operating
c:13166,NPD Group,Company,consulting,USA,NY,Port Washington,http://www.npd.com/corpServlet?nextpage=corp_welcome.html,operating
c:13171,Hi-media,Company,advertising,FRA,,Unknown,http://www.hi-media.com,operating
c:131716,MerchantCashinAdvance,Company,Unknown,Unknown,,Unknown,,operating
c:13198,Agence France Presse (AFP),Company,Unknown,Unknown,,Unknown,,operating
c:13246,First Solar,Company,cleantech,USA,AZ,Tempe,http://www.firstsolar.com,ipo
c:13249,Zephyr,Company,software,USA,CA,Fremont,http://www.getzephyr.com,operating
c:13259,SpaceTec Capital Partners AG,Company,Unknown,Unknown,,Unknown,,operating
c:13278,faberNovel,Company,consulting,FRA,,Paris,http://www.fabernovel.com/en,operating
c:13301,NetAge (Japan),Company,Unknown,Unknown,,Unknown,,operating
c:133242,Cyberonics,Company,Unknown,USA,TX,Houston,http://cyberonics.com,operating
c:1335,TheStreet,Company,finance,USA,NY,New York,http://www.thestreet.com,ipo
c:13402,National Semiconductor,Company,semiconductor,USA,CA,Santa Clara,http://www.national.com/analog,acquired
c:13403,Symyx,Company,biotech,USA,CA,Sunnyvale,http://www.symyx.com,acquired
c:13450,AstraZeneca,Company,biotech,GBR,,London,http://www.astrazeneca.com,operating
c:13463,Hambrecht & Quist,Company,Unknown,Unknown,,Unknown,,operating
c:135034,SpeedUp IQbator,Company,Unknown,Unknown,,Unknown,,operating
c:135159,Regio,Company,Unknown,Unknown,,Unknown,,operating
c:13524,Epicor Software,Company,software,SGP,,Unknown,http://www.epicor.com,acquired
c:13529,Sapient,Company,enterprise,USA,MA,Boston,http://www.sapient.com,acquired
c:1354,Discovery Communications,Company,web,USA,,Unknown,http://corporate.discovery.com,operating
c:13543,Everest Group,Company,Unknown,USA,TX,Dallas,http://www.everestgrp.com,operating
c:13564,Infopromotions,Company,web,FRA,,Paris,,operating
c:1359,SuperMedia,Company,web,USA,,Unknown,http://www.supermedia.com,operating
c:13636,Programmed,Company,Unknown,Unknown,,Unknown,,operating
c:137041,AIP Seed Capital,Company,Unknown,Unknown,,Unknown,,operating
c:137136,UJ Ventures,Company,Unknown,Unknown,,Unknown,,operating
c:13727,ABS-CBN GLOBAL LTD.,Company,public_relations,PHL,,Quezon City,http://abs-cbn.com,operating
c:13779,Sumitomo Corporation,Company,other,JPN,,Tokyo,http://www.sumitomocorp.co.jp,operating
c:137904,Skolkovo Foundation,Company,other,RUS,,Moscow,http://sk.ru,operating
